Latin_Name,Common_Name,Family_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Additional_Characteristices_Notes
Acacia baileyana 'Purpurea',Purple-leaf Acacia,Fabaceae,Tree (evergreen),Spring,Yellow,8.0,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0.0,Sidewalk,"Fast grower, high maintenance."
Acer buergeranum,Trident Maple,Sapindaceae Aceraceae,Tree (deciduous),Spring,,6.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Prefers heat, wind protection."
Acer macrophyllum,Bigleaf Maple,Sapindaceae,Tree (deciduous),Spring,"Orange,Red,Yellow",8.0,CA Native,Riparian,"Sun,Shade","Clay,Loam,Sand,Rock",,Moderate,"Nesting,Pollinator",Bees;Birds;Butterflies,Yes,1.0,Garden,Provides shelter for wildlife
Acer negundo,Box Elder,Sapindaceae,Tree (deciduous),Spring,Pink,8.0,SF Native,"Chaparral,Grassland/prairie,Riparian,Woodland","Sun,Shade","Clay,Loam,Sand,Rock",,Moderate,"Buds/greens,Nesting",Bees;Birds;Butterflies;Insects,No,0.0,Garden,Withstands wind.
Acer rubrum,Red Maple,Sapindaceae,Tree (deciduous),Spring,Red,8.0,Exotic,,"Sun,Part shade","Clay,Loam,Sand",,Moderate,,,Yes,1.0,Sidewalk,"Prefers heat, wind protection"
Achillea millefolium,Yarrow,Sapindaceae,Perennial,"Spring,Summer",White,1.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,Yes,1.0,Garden;Sidewalk;Roof,"Recommended.  Travels by runners, self sowing, and can go anywhere."
Acmispon glaber,Deerweed,Fabaceae,Perennial,"Spring,Summer","Red,Yellow",1.0,SF Native,"Coastal scrub,Dunes",Sun,"Clay,Loam,Sand,Rock",,,"Buds/greens,Cover,Fruit,Pollinator",Butterflies;bees,Yes,1.0,Garden;Roof,"Practical and attractive plant. Attracts Black-tailed jackrabbit, Grey Hairstreak (Strymon melinus), and Green Hairstreak (Callophrys viridis) butterflies. Grows in disturbed soil."
Aesculus californica,California Buckeye,Sapindaceae,Tree (deciduous),Summer,"Pink,White",6.0,SF Native,"Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden,Recommended where there is space (ie: Palou Phelps park).  Attracts Western Tiger Swallowtail (Papilio rutulus) butterfly.
Aesculus x carnea,Red Horsechestnut,Sapindaceae,Tree (deciduous),,,8.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,gets windburn easily in summer even in protected sites.
Agonis flexuosa,Peppermint Tree,Myrtaceae,Tree (evergreen),Summer,White,8.0,Exotic,,Sun,"Clay,Loam",,,,,No,0.0,Sidewalk,Fast grower that requires extra tree care.
Agonis flexuosa  'After Dark',After Dark Peppermint Tree,Myrtaceae,Tree (evergreen),,,8.0,Exotic,,Sun,,,,,Bees;Butterflies;Birds,No,0.0,Sidewalk,‘After Dark’ is a fast grower that requires extra tree care.
Alcea rosea,Hollyhock,Malvaceae,Perennial,Summer,"Orange,Pink,Purple,Red,White,Yellow",3.0,Other,,Sun,"Loam,Sand",,Low,"Buds/greens,Pollinator",Bees;Butterflies;Hummingbirds,No,0.0,Garden,Attracts West Coast Painted Lady (Vanessa annabella) butterfly.
Alnus rhombifolia,White Alder,Betulaceae,Tree (deciduous),Fall,Yellow,8.0,CA Native,Riparian,"Sun,Shade","Clay,Loam,Sand,Rock",,Moderate,Pollinator,Birds;Butterflies;Hummingbirds,Yes,1.0,Garden,Streamside plant.
Amelanchier spp.,Western Service Berry,Rosaceae,Shrub (deciduous),Summer,White,2.0,SF Native,Coastal scrub,"Sun,Part shade","Clay,Loam,Rock",,Low,"Fruit,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,
Amsinckia spectabilis,Coast Fiddleneck,Boraginaceae,Perennial,Spring,Yellow,1.0,SF Native,"Coastal scrub,Dunes",Sun,"Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,No,0.0,Garden;Roof,Easy to grow from seed. Attracts Painted Lady (Vanessa cardui) butterfly.
Anaphalis margaritacea,Pearly Everlasting,Asteraceae,Perennial,Summer,"White,Yellow",1.0,SF Native,"Coastal scrub,Dunes,Woodland",Sun,"Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,No,0.0,Garden;Roof,"Recommended root runner plant (also gumplant, goldenrod, dudleya). Attracts American Lady (Vanessa virginensis) and Painted Lady (Vanessa cardui) butterflies."
Angelica hendersonii,Coast Angelica,Apiaceae,Perennial,Summer,White,1.0,SF Native,Coastal scrub,"Sun,Part shade","Clay,Loam,Sand",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,No,0.0,Garden,"Recommended. Big robust leaves, but not weedy. Attracts Anise swallowtail (Papilio zelicaon) butterfly."
Aquilegia formosa,Western Columbine,Ranunculaceae,Perennial,Spring,"Red,Yellow",0.2,SF Native,"Coastal scrub,Riparian,Woodland","Sun,Part shade","Clay,Loam,Rock",,Low,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden;Roof,Attracts Anna's Hummingbird.
